"doi_charite","charite_data_id_or_acc_nr"
"10.1038/s41592-020-0965-y","gse142696"
"10.1038/s41596-020-0333-5","gse142696"
"10.1016/j.isci.2021.102151","gse148729"
"10.1038/s41467-021-24007-w","gse148729"
"10.1002/eji.202048797","gse160097"
"10.1002/eji.202250162","gse160097"
"10.1038/s41598-019-57108-0","gse94916"
"10.1016/j.lfs.2021.119158","gse94916"
"10.1038/s41586-020-2294-9","mt108784"
"10.3201/eid2707.204660","mt108784"
"10.1038/s41586-021-04342-0","mt108784"
"10.1038/s41467-020-19589-w","prjeb37249"
"10.1038/s41586-020-2269-x","prjeb37249"
"10.1053/j.gastro.2020.07.005","prjna540738"
"10.1111/jgh.15071","prjna540738"
