open_data_assessment,own_or_reuse_data,data_access,restricted_authorship,n
no_open_data,NULL,not_persistent,NA,1
no_open_data,NULL,not_persistent,NULL,55
no_open_data,NULL,not_uploaded,NULL,1
no_open_data,NULL,NULL,NA,20
no_open_data,NULL,NULL,NULL,370
no_open_data,own_open_data,yes,NULL,10
NULL,NULL,embargo,NULL,7
NULL,NULL,NULL,NA,3
NULL,NULL,NULL,NULL,47
NULL,NULL,pharma_data,NULL,10
NULL,NULL,pharma_data,reuse_restricted,1
NULL,NULL,restricted,own_restricted,79
NULL,NULL,restricted,reuse_restricted,51
NULL,NULL,reuse_access,NULL,1
NULL,open_data_reuse,reuse_access,NA,3
NULL,open_data_reuse,reuse_access,NULL,306
NULL,open_data_reuse,unsure,NULL,1
NULL,open_data_reuse,yes,NA,3
NULL,open_data_reuse,yes,NULL,51
open_data,own_open_data,unsure,NULL,3
open_data,own_open_data,yes,NA,9
open_data,own_open_data,yes,NULL,528
