data_access,own_or_reuse_data,open_data_assessment,restricted_authorship,n
NULL,NULL,NULL,NULL,47
NULL,NULL,NULL,NA,3
NULL,NULL,no_open_data,NULL,370
NULL,NULL,no_open_data,NA,20
embargo,NULL,NULL,NULL,7
not_persistent,NULL,no_open_data,NULL,55
not_persistent,NULL,no_open_data,NA,1
not_uploaded,NULL,no_open_data,NULL,1
pharma_data,NULL,NULL,NULL,10
pharma_data,NULL,NULL,reuse_restricted,1
restricted,NULL,NULL,own_restricted,79
restricted,NULL,NULL,reuse_restricted,51
reuse_access,NULL,NULL,NULL,1
reuse_access,open_data_reuse,NULL,NULL,306
reuse_access,open_data_reuse,NULL,NA,3
unsure,open_data_reuse,NULL,NULL,1
unsure,own_open_data,open_data,NULL,3
yes,open_data_reuse,NULL,NULL,51
yes,open_data_reuse,NULL,NA,3
yes,own_open_data,no_open_data,NULL,10
yes,own_open_data,open_data,NULL,528
yes,own_open_data,open_data,NA,9
